nume_actiune,timestamp
interneaza_pacient_db,2026-06-04T18:44:22.416555267
listeaza_pacienti_db,2026-06-04T18:44:22.419357344
prescrie_medicament_db,2026-06-04T18:44:22.420545523
prescrie_medicament_db,2026-06-04T18:44:22.421256166
prescrie_medicament_db,2026-06-04T18:44:22.421861151
prescrie_medicament_rollback,2026-06-04T18:44:22.422439095
listeaza_medicamente_db,2026-06-04T18:44:22.422944173
raport_pacienti_urgenti,2026-06-04T18:44:22.42568823
raport_pacienti_per_medic,2026-06-04T18:44:22.428479516
raport_top_medicamente,2026-06-04T18:44:22.431628263
raport_prescriptii_pacient,2026-06-04T18:44:22.43424398
addSala,2026-06-04T18:48:22.537434092
addSala,2026-06-04T18:48:22.539295522
getAllSali,2026-06-04T18:48:22.539471743
addMedicament,2026-06-04T18:48:22.544339169
getAllMedicamente,2026-06-04T18:48:22.544642368
addMedic,2026-06-04T18:48:22.547824534
addMedic,2026-06-04T18:48:22.548419881
getAllMedici,2026-06-04T18:48:22.548540617
addMedicSpecialist,2026-06-04T18:48:22.557350074
getAllMediciSpecialisti,2026-06-04T18:48:22.557542185
addManager,2026-06-04T18:48:22.560594628
addAsistenta,2026-06-04T18:48:22.560755961
getAllManageri,2026-06-04T18:48:22.560895061
getAllAsistente,2026-06-04T18:48:22.56267588
addPacient,2026-06-04T18:48:22.56541142
getAllPacienti,2026-06-04T18:48:22.566011374
addPersoana,2026-06-04T18:48:22.568669138
addPersoana,2026-06-04T18:48:22.568822856
addPersoana,2026-06-04T18:48:22.568901834
addPersoana,2026-06-04T18:48:22.568982375
addPersoana,2026-06-04T18:48:22.569076181
addPersoana,2026-06-04T18:48:22.569172732
getAllPersoane,2026-06-04T18:48:22.569245278
findMedicById,2026-06-04T18:48:22.569630089
findMediciByDepartament,2026-06-04T18:48:22.569778868
getSortedMedici,2026-06-04T18:48:22.569915665
addSpecToMedic,2026-06-04T18:48:22.570737926
findMedicSpecialistById,2026-06-04T18:48:22.570827985
findMedicSpecialistById,2026-06-04T18:48:22.570902695
findPacientByName,2026-06-04T18:48:22.571034202
findPacientiByDiagnostic,2026-06-04T18:48:22.571189593
getUrgentPacienti,2026-06-04T18:48:22.571375893
deleteMedicament,2026-06-04T18:48:22.571492151
findMedicamentByName,2026-06-04T18:48:22.571554468
getAllMedicamente,2026-06-04T18:48:22.57176369
addMedicament,2026-06-04T18:48:22.572024719
findMedicById,2026-06-04T18:48:22.572218793
salveaza_medic_db,2026-06-04T18:48:22.683029171
salveaza_medic_db,2026-06-04T18:48:22.683645036
salveaza_medic_db,2026-06-04T18:48:22.684113775
listeaza_medici_db,2026-06-04T18:48:22.688128432
cauta_medic_db,2026-06-04T18:48:22.688983064
actualizeaza_medic_db,2026-06-04T18:48:22.689892289
cauta_medic_db,2026-06-04T18:48:22.690236535
sterge_medic_db,2026-06-04T18:48:22.6908902
listeaza_medici_db,2026-06-04T18:48:22.69125292
salveaza_sala_db,2026-06-04T18:48:22.692032833
salveaza_sala_db,2026-06-04T18:48:22.692465234
actualizeaza_sala_db,2026-06-04T18:48:22.693041524
listeaza_sali_db,2026-06-04T18:48:22.693375771
salveaza_medicament_db,2026-06-04T18:48:22.694200738
salveaza_medicament_db,2026-06-04T18:48:22.694729088
salveaza_medicament_db,2026-06-04T18:48:22.695170776
sterge_medicament_db,2026-06-04T18:48:22.695961759
listeaza_medicamente_db,2026-06-04T18:48:22.696438012
interneaza_pacient_db,2026-06-04T18:48:22.69863937
interneaza_pacient_db,2026-06-04T18:48:22.699326268
listeaza_pacienti_db,2026-06-04T18:48:22.700342383
prescrie_medicament_db,2026-06-04T18:48:22.701355202
prescrie_medicament_db,2026-06-04T18:48:22.702128662
prescrie_medicament_db,2026-06-04T18:48:22.702931297
prescrie_medicament_rollback,2026-06-04T18:48:22.703439921
listeaza_medicamente_db,2026-06-04T18:48:22.703933176
raport_pacienti_urgenti,2026-06-04T18:48:22.706371307
raport_pacienti_per_medic,2026-06-04T18:48:22.708970871
raport_top_medicamente,2026-06-04T18:48:22.711437066
raport_prescriptii_pacient,2026-06-04T18:48:22.71315678
addSala,2026-06-04T18:49:01.22916841
addSala,2026-06-04T18:49:01.230562143
getAllSali,2026-06-04T18:49:01.230676648
addMedicament,2026-06-04T18:49:01.233788723
getAllMedicamente,2026-06-04T18:49:01.233905872
addMedic,2026-06-04T18:49:01.23647014
addMedic,2026-06-04T18:49:01.236801912
getAllMedici,2026-06-04T18:49:01.236886761
addMedicSpecialist,2026-06-04T18:49:01.2456175
getAllMediciSpecialisti,2026-06-04T18:49:01.245782329
addManager,2026-06-04T18:49:01.247375867
addAsistenta,2026-06-04T18:49:01.247482978
getAllManageri,2026-06-04T18:49:01.247560082
getAllAsistente,2026-06-04T18:49:01.248896578
addPacient,2026-06-04T18:49:01.252143415
getAllPacienti,2026-06-04T18:49:01.25269514
addPersoana,2026-06-04T18:49:01.25525575
addPersoana,2026-06-04T18:49:01.255352502
addPersoana,2026-06-04T18:49:01.255417033
addPersoana,2026-06-04T18:49:01.255480271
addPersoana,2026-06-04T18:49:01.255572324
addPersoana,2026-06-04T18:49:01.25563964
getAllPersoane,2026-06-04T18:49:01.255705684
findMedicById,2026-06-04T18:49:01.256059708
findMediciByDepartament,2026-06-04T18:49:01.256200442
getSortedMedici,2026-06-04T18:49:01.256327159
addSpecToMedic,2026-06-04T18:49:01.257328476
findMedicSpecialistById,2026-06-04T18:49:01.257408336
